R,G,B,Temperature
255.0,0.0,0.0,0
255.0,10.0,0.0,1
255.0,20.0,0.0,2
255.0,30.0,0.0,3
255.0,40.0,0.0,4
255.0,50.0,0.0,5
255.0,60.0,0.0,6
255.0,70.0,0.0,7
255.0,80.0,0.0,8
255.0,92.0,0.0,9
255.0,102.0,0.0,10
255.0,112.0,0.0,11
255.0,121.99999999999999,0.0,12
255.0,131.99999999999997,0.0,13
255.0,142.0,0.0,14
255.0,152.0,0.0,15
255.0,162.0,0.0,16
255.0,174.0,0.0,17
255.0,184.0,0.0,18
255.0,194.0,0.0,19
255.0,204.0,0.0,20
255.0,214.0,0.0,21
255.0,224.0,0.0,22
255.0,234.0,0.0,23
255.0,243.99999999999997,0.0,24
254.0,254.50196078431372,0.0,25
244.0,249.52156862745096,0.0,26
234.0,244.54117647058825,0.0,27
224.0,239.5607843137255,0.0,28
214.00000000000006,234.58039215686279,0.0,29
204.0,229.6,0.0,30
194.0,224.61960784313726,0.0,31
184.0,219.6392156862745,0.0,32
174.0,214.6588235294118,0.0,33
162.0,208.68235294117648,0.0,34
152.0,203.7019607843137,0.0,35
142.0,198.721568627451,0.0,36
131.99999999999997,193.74117647058821,0.0,37
121.99999999999999,188.7607843137255,0.0,38
112.0,183.78039215686275,0.0,39
102.0,178.8,0.0,40
92.00000000000001,173.81960784313728,0.0,41
80.0,167.84313725490196,0.0,42
70.0,162.86274509803923,0.0,43
60.000000000000014,157.8823529411765,0.0,44
49.99999999999999,152.9019607843137,0.0,45
40.0,147.921568627451,0.0,46
30.000000000000007,142.9411764705882,0.0,47
20.000000000000014,137.9607843137255,0.0,48
9.999999999999993,132.9803921568627,0.0,49
0.0,128.0,0.0,50
